City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hohhot,40.8106,111.6522,-16.84,32,0,3.0,CN,1674541693
83,yei,4.095,30.6779,25.08,30,71,1.6,SS,1674541694
84,cape town,-33.9258,18.4232,19.23,86,75,7.72,ZA,1674541695
85,gat,31.61,34.7642,18.0,100,0,0.84,IL,1674541704
86,kununurra,-15.7667,128.7333,35.99,46,40,4.63,AU,1674541446
87,menongue,-14.6585,17.691,16.4,94,97,2.86,AO,1674541706
88,castro,-24.7911,-50.0119,15.5,96,77,0.6,BR,1674541707
89,faya,18.3851,42.4509,14.06,67,6,1.23,SA,1674541708
90,avarua,-21.2078,-159.775,24.03,94,96,1.03,CK,1674541708
91,cidreira,-30.1811,-50.2056,23.31,89,1,3.88,BR,1674541708
92,ngunguru,-35.6167,174.5,19.75,78,100,5.85,NZ,1674541709
93,port elizabeth,-33.918,25.5701,22.28,85,75,10.29,ZA,1674541610
94,ocean city,39.2776,-74.5746,3.33,66,39,4.92,US,1674541709
95,harper,4.375,-7.7169,25.41,85,47,2.42,LR,1674541710
96,prince rupert,54.3161,-130.3201,6.83,88,100,5.66,CA,1674541710
97,waingapu,-9.6567,120.2641,30.21,61,88,3.48,ID,1674541719
98,benito juarez,19.385,-99.165,15.0,58,0,3.6,MX,1674541720
99,buraydah,26.326,43.975,14.25,60,29,5.65,SA,1674541724
100,thunder bay,48.4001,-89.3168,-5.01,63,100,3.09,CA,1674541724
101,calvinia,-31.4707,19.776,13.4,70,14,4.52,ZA,1674541728
102,flin flon,54.7682,-101.865,-21.62,100,100,1.75,CA,1674541730
103,biak,-0.9131,122.8766,28.29,71,100,0.54,ID,1674541731
104,vaini,-21.2,-175.2,28.09,89,75,3.6,TO,1674541732
105,cabo san lucas,22.8909,-109.9124,17.61,72,95,0.89,MX,1674541733
106,mahebourg,-20.4081,57.7,25.16,88,75,3.09,MU,1674541733
107,tasiilaq,65.6145,-37.6368,-8.91,66,100,1.8,GL,1674541734
108,pundaguitan,6.3711,126.1689,25.7,88,100,4.68,PH,1674541735
109,djibo,14.1022,-1.6306,22.46,19,22,2.46,BF,1674541735
110,bara,10.3744,10.7288,19.38,23,36,3.12,NG,1674541736
111,labuhan,-6.8844,112.2051,29.97,67,92,3.49,ID,1674541737
112,longyearbyen,78.2186,15.6401,-4.09,74,75,3.6,SJ,1674541753
113,kot samaba,28.5522,70.4684,18.31,16,17,5.24,PK,1674541753
114,faanui,-16.4833,-151.75,26.24,77,100,7.95,PF,1674541753
115,rosarito,32.3333,-117.0333,11.18,41,0,1.81,MX,1674541754
116,chapais,49.7834,-74.8492,-6.12,95,100,3.91,CA,1674541755
117,nouadhibou,20.931,-17.0347,15.99,72,0,8.75,MR,1674541755
118,pingliang,35.5392,106.6861,-4.45,21,2,4.92,CN,1674541757
119,half moon bay,37.4636,-122.4286,11.88,52,0,2.57,US,1674541765
120,katsuura,35.1333,140.3,12.03,51,100,13.47,JP,1674541647
